Id,y
0,0.330694651
1,0.069921403
2,0.032144249
3,0.704217673
4,0.044295454
5,0.082925244
6,0.944692327
7,0.864781296
8,0.783930123
9,0.717454599
10,0.10092098
11,0.853546727
12,0.127155532
13,0.989178008
14,0.930877247
15,0.30877228
16,0.923650504
17,0.714259455
18,0.321277481
19,0.921466436
20,0.115152831
21,0.501291629
22,0.933053661
23,0.021800296
24,0.926767689
25,0.710863744
26,0.04731362
27,0.049810187
28,0.967121491
29,0.042604135
30,0.102357522
31,0.651147128
32,0.926504636
33,0.02588284
34,0.203767466
35,0.759800138
36,0.004393488
37,0.118823591
38,0.311087831
39,0.084895675
40,0.843071794
41,0.659939634
42,0.106959949
43,0.028267566
44,0.760541819
45,0.312929075
46,0.121651837
47,0.02911744
48,0.114203543
49,0.950237888
50,0.150766936
51,0.098211959
52,0.137286491
53,0.944315006
54,0.973542985
55,0.216314052
56,0.039598932
57,0.933320756
58,0.731572249
59,0.649707511
60,0.138167565
61,0.085185255
62,0.070199256
63,0.252604024
64,0.968637812
65,0.767399077
66,0.566867943
67,0.045384204
68,0.003670635
69,0.505465334
70,0.867691815
71,0.833481664
72,0.536935753
73,0.948878271
74,0.97774996
75,0.475797738
76,0.257777803
77,0.465067963
78,0.253428803
79,0.126355271
80,0.067172602
81,0.058071486
82,0.226732547
83,0.968978751
84,0.996946771
85,0.028938398
86,0.922850855
87,0.02264979
88,0.022683301
89,0.002506589
90,0.071817852
91,0.168808888
92,0.036416823
93,0.975853887
94,0.965527048
95,0.004068028
96,0.07877484
97,0.075286241
98,0.839046152
99,0.080682153
100,0.648470929
101,0.384772317
102,0.101563551
103,0.019278121
104,0.066290938
105,0.916902667
106,0.283460049
107,0.54004788
108,0.963706286
109,0.059698034
110,0.657084874
111,0.194244118
112,0.920875202
113,0.061011033
114,0.01919487
115,0.090306112
116,0.959518985
117,0.998293994
118,0.019422411
119,0.123323909
120,0.950063778
121,0.072106282
122,0.09550444
123,0.52803891
124,0.16337607
125,0.147206401
126,0.958106833
127,0.024398774
128,0.047390165
129,0.947523349
130,0.88887204
131,0.029089246
132,0.030370697
133,0.028398738
134,0.966290851
135,0.955168008
136,0.168949385
137,0.927709689
138,0.213234753
139,0.9825608
140,0.957778694
141,0.065997366
142,0.887260845
143,0.377485757
144,0.924667963
145,0.281585125
146,0.957466714
147,0.474846339
148,0.092722823
149,0.139114918
150,0.362001119
151,0.756740969
152,0.382160292
153,0.068515571
154,0.746397509
155,0.426691105
156,0.061101517
157,0.256583771
158,0.585311488
159,0.876685554
160,0.790183329
161,0.092827852
162,0.01248186
163,0.093253646
164,0.011225019
165,0.913338
166,0.08105863
167,0.119178214
168,0.114799111
169,0.237070672
170,0.220093347
171,0.968352898
172,0.404481969
173,0.977480557
174,0.342887018
175,0.020525624
176,0.047490406
177,0.007775149
178,0.034131614
179,0.947850731
180,0.867533117
181,0.037758573
182,0.247064709
183,0.915146645
184,0.425074201
185,0.985242541
186,0.913999815
187,0.238016165
188,0.082228574
189,0.167939038
190,0.250191025
191,0.812056837
192,0.921042552
193,0.069168245
194,0.897871213
195,0.095904051
196,0.079868475
197,0.958819751
198,0.133877743
199,0.519215684
200,0.00554055
201,0.860121833
202,0.122640002
203,0.860039264
204,0.979817722
205,0.548924628
206,0.028213732
207,0.009420817
208,0.10591637
209,0.542535415
210,0.016143125
211,0.845256996
212,0.173670568
213,0.892300668
214,0.245030192
215,0.498802888
216,0.022114658
217,0.790751291
218,0.582257654
219,0.711818422
220,0.211794217
221,0.925852076
222,0.883380945
223,0.212215593
224,0.289420763
225,0.165072872
226,0.067124695
227,0.212991744
228,0.968169893
229,0.501698787
230,0.100548274
231,0.068444622
232,0.892607412
233,0.013960781
234,0.436409267
235,0.048177052
236,0.142774525
237,0.628414408
238,0.363252661
239,0.961378376
240,0.036219347
241,0.178821507
242,0.085964224
243,0.109472631
244,0.931082931
245,0.98101778
246,0.12761322
247,0.849164245
248,0.041950248
249,0.477550191
250,0.731855396
251,0.622238288
252,0.737147743
253,0.08817913
254,0.806452413
255,0.157704445
256,0.396129829
257,0.070415537
258,0.018318271
259,0.727335985
260,0.083242672
261,0.155342554
262,0.710706484
263,0.732350885
264,0.783169274
265,0.84718978
266,0.003575824
267,0.9926277
268,0.969224636
269,0.065886667
270,0.078337973
271,0.947042771
272,0.344892422
273,0.05862497
274,0.070727256
275,0.033921267
276,0.810103844
277,0.08003351
278,0.985903241
279,0.125016111
280,0.849536027
281,0.083642032
282,0.179529304
283,0.610187669
284,0.239491903
285,0.121755449
286,0.971278254
287,0.234799552
288,0.056933764
289,0.006282241
290,0.020944512
291,0.09630635
292,0.939230714
293,0.262942229
294,0.948375886
295,0.057751876
296,0.933030135
297,0.959831954
298,0.261087904
299,0.902049458
300,0.159699924
301,0.030548974
302,0.100176451
303,0.758553562
304,0.184071916
305,0.086473134
306,0.57203789
307,0.682411029
308,0.008639766
309,0.985617875
310,0.71399331
311,0.058502961
312,0.076579812
313,0.249124268
314,0.09012817
315,0.952936016
316,0.005649869
317,0.119419885
318,0.07264552
319,0.101360801
320,0.163287075
321,0.021387939
322,0.925052238
323,0.76792441
324,0.223307388
325,0.082708344
326,0.975111553
327,0.426687273
328,0.387206291
329,0.059251135
330,0.355676382
331,0.743189921
332,0.039281003
333,0.438862703
334,0.764234843
335,0.979243192
336,0.639652266
337,0.931466793
338,0.035410046
339,0.078347757
340,0.016965548
341,0.92429789
342,0.981643242
343,0.413447956
344,0.039206907
345,0.079254057
346,0.110540428
347,0.693104967
348,0.018474798
349,0.067178385
350,0.043788048
351,0.906472636
352,0.053595524
353,0.078798422
354,0.013909692
355,0.83794013
356,0.036196121
357,0.145419784
358,0.94952899
359,0.712156775
360,0.479278229
361,0.981853736
362,0.346257727
363,0.515915684
364,0.464650457
365,0.204351545
366,0.06851501
367,0.073566952
368,0.917895929
369,0.802221142
370,0.023596763
371,0.046880459
372,0.545188003
373,0.805578054
374,0.052710751
